Date,Open,High,Low,Close,Adj Close,Volume
2000-01-17,512.000000,512.000000,495.000000,500.000000,298.793243,2683000
2000-01-18,491.000000,500.000000,488.000000,500.000000,298.793243,4586000
2000-01-19,504.000000,504.000000,497.000000,502.000000,299.988464,3810000
2000-01-20,495.000000,502.000000,495.000000,500.000000,298.793243,4974000
2000-01-21,505.000000,527.000000,503.000000,516.000000,308.354736,11157000
2000-01-24,519.000000,519.000000,491.000000,498.000000,297.598206,4133000
2000-01-25,489.000000,489.000000,453.000000,467.000000,279.073029,8410000
2000-01-26,468.000000,480.000000,461.000000,469.000000,280.268158,6564000
2000-01-27,474.000000,474.000000,456.000000,469.000000,280.268158,3846000
2000-01-28,470.000000,470.000000,455.000000,470.000000,280.865692,4344000
2000-01-31,480.000000,511.000000,480.000000,510.000000,304.769226,11519000
2000-02-01,505.000000,505.000000,486.000000,490.000000,292.817474,4137000
2000-02-02,489.000000,491.000000,473.000000,481.000000,287.439178,3989000
2000-02-03,466.000000,472.000000,436.000000,438.000000,261.742981,7853000
2000-02-04,438.000000,449.000000,426.000000,449.000000,268.316406,5060000
2000-02-07,453.000000,455.000000,442.000000,442.000000,264.133301,2174000
2000-02-08,435.000000,436.000000,420.000000,423.000000,252.779266,4950000
2000-02-09,418.000000,418.000000,401.000000,411.000000,245.608185,3706000
2000-02-10,411.000000,425.000000,410.000000,410.000000,245.010498,2727000
2000-02-11,null,null,null,null,null,null
2000-02-14,419.000000,420.000000,395.000000,400.000000,239.034653,2995000
2000-02-15,395.000000,397.000000,351.000000,359.000000,214.533615,5036000
2000-02-16,362.000000,377.000000,358.000000,374.000000,223.497452,8879000
2000-02-17,389.000000,399.000000,374.000000,376.000000,224.692596,6024000
2000-02-18,401.000000,415.000000,394.000000,415.000000,247.998459,9247000
2000-02-21,420.000000,426.000000,407.000000,419.000000,250.388763,5742000
2000-02-22,410.000000,413.000000,398.000000,408.000000,243.815338,4407000
2000-02-23,413.000000,429.000000,413.000000,429.000000,256.364624,8297000
2000-02-24,430.000000,466.000000,429.000000,460.000000,274.889923,8147000
2000-02-25,465.000000,474.000000,460.000000,462.000000,276.085114,5761000
2000-02-28,460.000000,460.000000,422.000000,427.000000,255.169495,5050000
2000-02-29,422.000000,449.000000,412.000000,415.000000,247.998459,4542000
2000-03-01,420.000000,429.000000,420.000000,424.000000,253.376648,3846000
2000-03-02,424.000000,449.000000,422.000000,425.000000,253.974350,4440000
2000-03-03,430.000000,438.000000,425.000000,430.000000,256.962219,3122000
2000-03-06,431.000000,444.000000,431.000000,439.000000,262.340576,2612000
2000-03-07,430.000000,434.000000,428.000000,432.000000,258.157471,3145000
2000-03-08,420.000000,440.000000,414.000000,432.000000,258.157471,4267000
2000-03-09,427.000000,428.000000,414.000000,421.000000,251.584000,6236000
2000-03-10,430.000000,440.000000,423.000000,433.000000,258.755035,12073000
2000-03-13,440.000000,440.000000,426.000000,435.000000,259.950195,5216000
2000-03-14,425.000000,430.000000,399.000000,415.000000,247.998459,4461000
2000-03-15,400.000000,400.000000,390.000000,397.000000,237.241974,3408000
